date,SLP,RH2m,TMP2m,TMP2m_max,TMP2m_min,U10m,V10m,WS,WD,QV2m,PRCP,PS,PRmsl,PS_Pa
2021-01-01,101.14,73.72,24.52,31.35,19.28,-1.2,0.85,3.03,125.2,14.02,0.03,100.04,101140.0,100040.0
2021-01-02,101.21,76.92,23.85,28.52,21.02,0.2,-0.88,2.01,347.4,14.1,0.02,100.11,101210.0,100110.0
2021-01-03,101.1,71.22,23.59,29.32,19.98,0.56,-1.06,1.91,332.0,12.79,0.01,100.0,101100.0,100000.0
2021-01-04,101.06,71.52,23.68,29.5,19.22,0.4,-0.48,1.94,320.3,12.93,0.08,99.96,101060.0,99960.0
2021-01-05,101.18,71.57,23.33,29.57,19.31,0.0,-1.67,2.04,360.0,12.63,0.08,100.08,101180.0,100080.0
2021-01-06,101.14,68.91,23.69,30.64,19.04,0.24,-1.92,2.43,352.7,12.41,0.0,100.03,101140.0,100030.0
2021-01-07,100.92,75.7,24.45,29.32,19.83,-0.79,-0.35,1.89,66.0,14.6,0.6,99.82,100920.0,99820.0
2021-01-08,100.83,81.37,25.0,29.26,21.76,0.41,-0.53,1.84,322.5,16.06,3.32,99.74,100830.0,99740.0
2021-01-09,100.9,79.22,25.53,30.81,21.45,-0.08,-1.13,1.88,3.8,16.03,3.92,99.8,100900.0,99800.0
2021-01-10,101.0,76.34,26.17,31.41,22.78,-1.02,-0.38,2.47,69.6,15.97,0.19,99.91,101000.0,99910.0
2021-01-11,101.07,68.57,26.9,33.66,22.02,-1.41,-0.53,2.36,69.4,14.52,0.02,99.98,101070.0,99980.0
2021-01-12,101.13,60.23,27.02,34.73,21.15,-2.13,-1.04,3.09,64.1,12.98,0.0,100.04,101130.0,100040.0
2021-01-13,101.12,60.54,26.35,33.79,21.27,-1.14,-1.2,2.74,43.5,12.54,0.0,100.03,101120.0,100030.0
2021-01-14,101.05,61.05,25.32,33.06,19.24,-0.52,-0.27,2.0,62.8,11.8,0.0,99.95,101050.0,99950.0
2021-01-15,101.0,61.77,24.75,32.57,19.17,-0.3,-0.32,2.64,43.7,11.56,0.0,99.9,101000.0,99900.0
