city,forecast_date,nasa_latest_used,run_timestamp,target,unit,actual,ensemble,MV_A,MV_B,UV_A,UV_B,adjustment_applied,err_ensemble,abs_err_ensemble,err_MV_A,abs_err_MV_A,err_MV_B,abs_err_MV_B,err_UV_A,abs_err_UV_A,err_UV_B,abs_err_UV_B
Mumbai,2026-06-03,2026-06-02,2026-06-05T06:50:58.129872,PRmsl,Pa,100550.0,100459.5643,100564.5146,100696.2802,100572.3367,100005.1258,False,-90.4357,90.4357,14.5146,14.5146,146.2802,146.2802,22.3367,22.3367,-544.8742,544.8742
Mumbai,2026-06-03,2026-06-02,2026-06-05T06:50:58.129872,RH2m,%,63.04,69.9409,62.0527,85.1161,65.019,67.5759,False,6.9009,6.9009,-0.9873,0.9873,22.0761,22.0761,1.979,1.979,4.5359,4.5359
Mumbai,2026-06-03,2026-06-02,2026-06-05T06:50:58.129872,TMP2m,C,31.66,30.9283,30.7222,26.9019,32.3163,33.7726,False,-0.7317,0.7317,-0.9378,0.9378,-4.7581,4.7581,0.6563,0.6563,2.1126,2.1126
Mumbai,2026-06-03,2026-06-02,2026-06-05T10:44:19.661147,PRmsl,Pa,100550.0,100475.2837,100594.0753,100696.4268,100657.5131,99953.1194,False,-74.7163,74.7163,44.0753,44.0753,146.4268,146.4268,107.5131,107.5131,-596.8806,596.8806
Mumbai,2026-06-03,2026-06-02,2026-06-05T10:44:19.661147,RH2m,%,63.04,69.786,61.5482,84.9709,64.5957,68.0291,False,6.746,6.746,-1.4918,1.4918,21.9309,21.9309,1.5557,1.5557,4.9891,4.9891
Mumbai,2026-06-03,2026-06-02,2026-06-05T10:44:19.661147,TMP2m,C,31.66,30.8552,30.6808,26.9005,32.5778,33.2619,False,-0.8048,0.8048,-0.9792,0.9792,-4.7595,4.7595,0.9178,0.9178,1.6019,1.6019
Mumbai,2026-06-03,2026-06-02,2026-06-05T23:55:07.585883,PRmsl,Pa,100550.0,100475.2837,100594.0753,100696.4268,100657.5131,99953.1194,False,-74.7163,74.7163,44.0753,44.0753,146.4268,146.4268,107.5131,107.5131,-596.8806,596.8806
Mumbai,2026-06-03,2026-06-02,2026-06-05T23:55:07.585883,RH2m,%,63.04,69.786,61.5482,84.9709,64.5957,68.0291,False,6.746,6.746,-1.4918,1.4918,21.9309,21.9309,1.5557,1.5557,4.9891,4.9891
Mumbai,2026-06-03,2026-06-02,2026-06-05T23:55:07.585883,TMP2m,C,31.66,30.8552,30.6808,26.9005,32.5778,33.2619,False,-0.8048,0.8048,-0.9792,0.9792,-4.7595,4.7595,0.9178,0.9178,1.6019,1.6019
Mumbai,2026-06-04,2026-06-03,2026-06-06T23:55:36.281288,PRmsl,Pa,100410.0,100444.4969,100568.3644,100697.1699,100502.6745,100009.7788,False,34.4969,34.4969,158.3644,158.3644,287.1699,287.1699,92.6745,92.6745,-400.2212,400.2212
Mumbai,2026-06-04,2026-06-03,2026-06-06T23:55:36.281288,RH2m,%,62.95,70.5953,63.9623,85.2618,65.3882,67.769,False,7.6453,7.6453,1.0123,1.0123,22.3118,22.3118,2.4382,2.4382,4.819,4.819
